date_of_sale,address,postal_code,county,price,description
2023-01-01,123 Main St,12345,Example County,$250,000,Residential property
2023-02-01,456 Elm St,54321,Sample County,$350,000,Commercial property
2023-03-01,789 Oak St,67890,Example County,$150,000,Residential property
2023-04-01,101 Pine St,34567,Sample County,$275,000,Commercial property
2023-05-01,234 Maple St,12345,Example County,$325,000,Residential property
2023-06-01,345 Cedar St,54321,Sample County,$225,000,Commercial property
2023-07-01,567 Birch St,67890,Example County,$175,000,Residential property
2023-08-01,678 Walnut St,34567,Sample County,$275,000,Commercial property
2023-09-01,789 Chestnut St,12345,Example County,$425,000,Residential property
2023-10-01,890 Spruce St,54321,Sample County,$475,000,Commercial property
2023-11-01,901 Elm St,67890,Example County,$125,000,Residential property
2023-12-01,123 Pine St,34567,Sample County,$375,000,Commercial property
2024-01-01,234 Maple St,12345,Example County,$300,000,Residential property
2024-02-01,345 Cedar St,54321,Sample County,$250,000,Commercial property
2024-03-01,456 Birch St,67890,Example County,$200,000,Residential property
2024-04-01,567 Walnut St,34567,Sample County,$350,000,Commercial property
2024-05-01,678 Chestnut St,12345,Example County,$400,000,Residential property
2024-06-01,789 Spruce St,54321,Sample County,$450,000,Commercial property
2024-07-01,890 Elm St,67890,Example County,$100,000,Residential property
2024-08-01,101 Pine St,34567,Sample County,$350,000,Commercial property
2024-09-01,234 Maple St,12345,Example County,$325,000,Residential property
2024-10-01,345 Cedar St,54321,Sample County,$275,000,Commercial property
2024-11-01,567 Birch St,67890,Example County,$225,000,Residential property
2024-12-01,678 Walnut St,34567,Sample County,$375,000,Commercial property
2025-01-01,789 Chestnut St,12345,Example County,$425,000,Residential property
2025-02-01,890 Spruce St,54321,Sample County,$475,000,Commercial property
2025-03-01,123 Main St,67890,Example County,$150,000,Residential property
2025-04-01,234 Elm St,34567,Sample County,$275,000,Commercial property
2025-05-01,345 Oak St,12345,Example County,$325,000,Residential property
2025-06-01,456 Pine St,54321,Sample County,$225,000,Commercial property
2025-07-01,567 Maple St,67890,Example County,$175,000,Residential property
2025-08-01,678 Cedar St,34567,Sample County,$275,000,Commercial property
2025-09-01,789 Birch St,12345,Example County,$425,000,Residential property
2025-10-01,890 Walnut St,54321,Sample County,$475,000,Commercial property
2025-11-01,101 Chestnut St,67890,Example County,$125,000,Residential property
2025-12-01,123 Spruce St,34567,Sample County,$375,000,Commercial property
2026-01-01,234 Elm St,12345,Example County,$300,000,Residential property
2026-02-01,345 Oak St,54321,Sample County,$250,000,Commercial property
2026-03-01,456 Pine St,67890,Example County,$200,000,Residential property
2026-04-01,567 Maple St,34567,Sample County,$350,000,Commercial property
2026-05-01,678 Cedar St,12345,Example County,$400,000,Residential property
2026-06-01,789 Birch St,54321,Sample County,$450,000,Commercial property
2026-07-01,890 Walnut St,67890,Example County,$100,000,Residential property
2026-08-01,101 Chestnut St,34567,Sample County,$350,000,Commercial property
2026-09-01,234 Elm St,12345,Example County,$325,000,Residential property
2026-10-01,345 Oak St,54321,Sample County,$275,000,Commercial property
2026-11-01,456 Pine St,67890,Example County,$225,000,Residential property
2026-12-01,567 Maple St,34567,Sample County,$375,000,Commercial property
2027-01-01,678 Cedar St,12345,Example County,$425,000,Residential property
2027-02-01,789 Birch St,54321,Sample County,$475,000,Commercial property
2027-03-01,890 Walnut St,67890,Example County,$150,000,Residential property
2027-04-01,101 Chestnut St,34567,Sample County,$275,000,Commercial property
2027-05-01,123 Spruce St,12345,Example County,$325,000,Residential property
2027-06-01,234 Elm St,54321,Sample County,$225,000,Commercial property
2027-07-01,345 Oak St,67890,Example County,$175,000,Residential property
2027-08-01,456 Pine St,34567,Sample County,$275,000,Commercial property
2027-09-01,567 Maple St,12345,Example County,$425,000,Residential property
2027-10-01,678 Cedar St,54321,Sample County,$475,000,Commercial property
2027-11-01,789 Birch St,67890,Example County,$125,000,Residential property
2027-12-01,890 Walnut St,34567,Sample County,$375,000,Commercial property
2028-01-01,101 Chestnut St,12345,Example County,$300,000,Residential property
2028-02-01,123 Spruce St,54321,Sample County,$250,000,Commercial property
2028-03-01,234 Elm St,67890,Example County,$200,000,Residential property
2028-04-01,345 Oak St,34567,Sample County,$350,000,Commercial property
2028-05-01,456 Pine St,12345,Example County,$400,000,Residential property
2028-06-01,567 Maple St,54321,Sample County,$450,000,Commercial property
2028-07-01,678 Cedar St,67890,Example County,$100,000,Residential property
2028-08-01,789 Birch St,34567,Sample County,$350,000,Commercial property
2028-09-01,890 Walnut St,12345,Example County,$325,000,Residential property
2028-10-01,101 Chestnut St,54321,Sample County,$275,000,Commercial property
2028-11-01,123 Spruce St,67890,Example County,$225,000,Residential property
2028-12-01,234 Elm St,34567,Sample County,$375,000,Commercial property
2029-01-01,345 Oak St,12345,Example County,$425,000,Residential property
2029-02-01,456 Pine St,54321,Sample County,$475,000,Commercial property
2029-03-01,567 Maple St,67890,Example County,$150,000,Residential property
2029-04-01,678 Cedar St,34567,Sample County,$275,000,Commercial property
2029-05-01,789 Birch St,12345,Example County,$325,000,Residential property
2029-06-01,890 Walnut St,54321,Sample County,$225,000,Commercial property
2029-07-01,101 Chestnut St,67890,Example County,$175,000,Residential property
2029-08-01,123 Spruce St,34567,Sample County,$275,000,Commercial property
2029-09-01,234 Elm St,12345,Example County,$425,000,Residential property
2029-10-01,345 Oak St,54321,Sample County,$475,000,Commercial property
2029-11-01,456 Pine St,67890,Example County,$125,000,Residential property
2029-12-01,567 Maple St,34567,Sample County,$375,000,Commercial property
